category,name,description,image,vegetaric,vegan,bio,menu,price,date
Für unsere Kleinen,Kindermenü mit Butter-Mandel-Kuchen,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.5,2021-12-01
Für unsere Kleinen,Kindermenü mit Pasta Bolognese,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,8.9,2021-12-01
Für unsere Kleinen,Spielfigur,auch einzeln erhältlich,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.9,2021-12-01
Snacks & Kleinigkeiten,Warmes Schinken-Käse-Baguette,mit Frischkäse-Senfaufstrich,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23335&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-12-01
Snacks & Kleinigkeiten,Currywurst mit Tortilla-Crunch & Brötchen,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23336&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-12-01
Snacks & Kleinigkeiten,2 Flammkuchen Elsässer Art,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23338&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-12-01
Snacks & Kleinigkeiten,Pommes frites,mit Ketchup oder Mayonnaise,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23340&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.2,2021-12-01
Snacks & Kleinigkeiten,Roggenvollkornbrot,belegt mit Maasdamer & Krautsalat,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23341&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-12-01
Snacks & Kleinigkeiten,Mehrkornbrot,"mit gebackenem Hähnchen-Grillbraten, eingelegten Karottenstreifen & Kürbis-Chutney",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-12-01
Snacks & Kleinigkeiten,Focaccia ofenfrisch mit Tomate & Olive,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.2,2021-12-01
Snacks & Kleinigkeiten,Laugensnack mit Emmentaler & Kräuterfrischkäse,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.9,2021-12-01
Suppen & Salate,Couscous-Salat,mit Cashewkernen & Cranberrys,,Vegetarisch,Vegan,Nicht bio,Kein Menü,7.9,2021-12-01
Suppen & Salate,Tomatensuppe,mit Brötchen,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23361&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,5.4,2021-12-01
Snacks,Portion Ketchup,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,0.5,2021-12-01
Snacks,Portion Mayonnaise,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.5,2021-12-01
Snacks,Portion Senf,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,0.5,2021-12-01
Frühstück,Buttercroissant,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23377&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-12-01
Frühstück,Französisches Frühstück,"1 Croissant, 2 Brötchen, 2 Stück Butter, je 1-mal Nutella, Honig & Konfitüre",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23378&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.9,2021-12-01
Frühstück,Butter,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-12-01
Frühstück,Honig,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-12-01
Frühstück,Nutella,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-12-01
Frühstück,Konfitüre,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-12-01
Frühstück,2 Brötchen,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23383&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,1.5,2021-12-01
Frühstück,BIO-Rührei,,,Vegetarisch,Vegan,Bio,Kein Menü,4.2,2021-12-01
